X,Y
4.379058033,-2.36546096667
2.04541927116,-0.974127427805
0.211092296938,-0.333373593841
0.0146813519255,0.022718000665700004
0.09769364459280001,-0.040231568080599994
0.045112869043800005,-0.05606186542430001
0.00734773596538,-0.00031219034788599996
0.0058942645896000005,-0.00201951962011
0.00955094076802,-0.0153043066569
0.0017967952209800003,-0.0181286861293
0.00155607679267,-0.0042266318510399995
0.0053984619677,-0.0040938094776199994
0.00407778762727,-0.00481976761596
0.00370409320939,-0.00798910384029
0.00334023961179,-0.00741285489134
0.00393378410068,-0.005900471650939999
0.004633250069310001,-0.00694744719947
0.0044987080486499995,-0.007157054194640001
0.00309927372593,-0.008488871473919999
0.0033141592406699997,-0.00547159402607
0.0041301550824200004,-0.00603767445327
0.00421372973765,-0.00663049793346
0.00423777976704,-0.00701620138979
0.0035528307410799998,-0.00567751196525
0.0037654048708600004,-0.00550053269343
0.004298698717810001,-0.006327427644140001
